entidad,departamento_entidad,orden,nit_entidad,cantidad,suma_valor_contrato
AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA APC,Bogotá DC,NACIONAL,900484852,829,158385468411.0
ALIANZA FIDUCIARIA S A  PATRIMONIO AUTÓNOMO DEL FONDO DE INFRAESTRUCTURA EDUCATIVA FFIE,Bogotá DC,NACIONAL,830053812,31,3459500000000.0
ALMACÉN DE DEPÓSITO GENERAL DE LA CAJA AGRARIA Y BANCO GANADERO,Bogotá DC,NACIONAL,No Definido,1,
AMAZONAS  ALCALDÍA MUNICIPIO DE LETICIA,Amazonas,TERRITORIAL,890702034-2,4870,105056382685.0
AMAZONAS  ALCALDÍA MUNICIPIO DE PUERTO NARIÑO,Amazonas,TERRITORIAL,890981000-8,4665,83067848866.0
AMAZONAS  ASAMBLEA DEPARTAMENTAL DEL AMAZONAS,Amazonas,TERRITORIAL,838000125,340,1606558791.0
AMAZONAS  BATALLÓN DE ASPC N 26 SS NESTOR OSPINA MELO  PUERTO ALEGRÍA,Amazonas,NACIONAL,838000326,2,36270000.0
AMAZONAS  CÁMARA DE COMERCIO DEL AMAZONAS  LETICIA,Amazonas,NO DEFINIDO,860044445,55,632928265.0
AMAZONAS  CONTRALORÍA DEPARTAMENTAL DEL AMAZONAS,Amazonas,TERRITORIAL,838000110,293,2432251812.0
AMAZONAS  CORPORACIÓN AUTÓNOMA DEL FESTIVAL DE LA CONFRATERNIDAD AMAZÓNICA  LETICIA,Amazonas,TERRITORIAL,900089841-5,3,774941297.0
AMAZONAS  ESCUELA NORMAL SUPERIOR MONSEÑOR MARCELIANO EDUARDO CANYES DE LETICIA,Amazonas,TERRITORIAL,838000047,142,2032176277.0
AMAZONAS  ESE HOSPITAL SAN RAFAEL DE LETICIA,Amazonas,TERRITORIAL,838000096,4831,122018169542.0
AMAZONAS  GOBERNACIÓN,Amazonas,TERRITORIAL,899999336,16128,874440443857.0
AMAZONAS  INSTITUCIÓN EDUCATIVA COLEGIO INDIGENA CASA DEL CONOCIMIENTO  LA CHORRERA,Amazonas,TERRITORIAL,900379179,26,643355130.0
AMAZONAS  INSTITUCIÓN EDUCATIVA FRANCISCO DEL ROSARIO VELA GONZÁLEZ  LETICIA,Amazonas,TERRITORIAL,900394212,39,321725973.0
AMAZONAS  INSTITUCIÓN EDUCATIVA FRANCISCO DE ORELLANA  LETICIA,Amazonas,TERRITORIAL,900166262,10,156812395.0
AMAZONAS  INSTITUCIÓN EDUCATIVA FRANCISCO JOSÉ DE CALDAS  LETICIA,Amazonas,TERRITORIAL,900893281,11,134340701.0
AMAZONAS  INSTITUCIÓN EDUCATIVA INEM JOSÉ EUSTACIO RIVERA  LETICIA,Amazonas,TERRITORIAL,838000284,95,1026913090.0
AMAZONAS  INSTITUCIÓN EDUCATIVA INTERNADO SAN ANTONIO DE PADUA  MIRITÍ  PARANÁ,Amazonas,TERRITORIAL,900829833,5,113973610.0
AMAZONAS  INSTITUCIÓN EDUCATIVA JOSÉ CELESTINO MUTIS  PUERTO NARIÑO,Amazonas,TERRITORIAL,838000135,6,127756800.0
AMAZONAS  INSTITUCIÓN EDUCATIVA MANUC  PUERTO SANTANDER,Amazonas,TERRITORIAL,900384801,16,235800030.0
AMAZONAS  INSTITUCIÓN EDUCATIVA MARÍA AUXILIADORA  LETICIA,Amazonas,TERRITORIAL,900256055,24,790034810.0
AMAZONAS  INSTITUCIÓN EDUCATIVA MURUI  EL ENCANTO,Amazonas,TERRITORIAL,900379327,17,219285150.0
AMAZONAS  INSTITUCIÓN EDUCATIVA PUERTO ALEGRÍA  PUERTO ALEGRÍA,Amazonas,TERRITORIAL,900379222,4,26660500.0
AMAZONAS  INSTITUCIÓN EDUCATIVA SAGRADO CORAZON DE JESÚS  LETICIA,Amazonas,TERRITORIAL,838000271,135,1224969660.0
AMAZONAS  INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE LORETOYACO  PUERTO NARIÑO,Amazonas,TERRITORIAL,900002880,34,594497909.0
AMAZONAS  INSTITUCIÓN EDUCATIVA SAN JOSÉ  LA PEDRERA,Amazonas,TERRITORIAL,900379177,19,361662950.0
AMAZONAS  INSTITUCIÓN EDUCATIVA SAN JUAN BOSCO  LETICIA,Amazonas,TERRITORIAL,838000337,24,248463138.0
AMAZONAS  INSTITUCIÓN EDUCATIVA VILLA CARMEN  TARAPACÁ,Amazonas,TERRITORIAL,900379187,24,271687950.0
AMAZONAS  INSTITUTO DEPARTAMENTAL DEL DEPORTE Y RECREACIÓN DEL AMAZONAS  LETICIA,Amazonas,TERRITORIAL,838000059,684,4986290363.0
ANTIOQUIA  ADMINISTRADOR DEL PATRIMONIO ESCINDIDO DE EMPRESAS VARIAS DE MEDELLÍN ESP APEV,Antioquia,TERRITORIAL,900266932,53,2605312896.0
ANTIOQUIA  AEROPUERTO OLAYA HERRERA DE MEDELLÍN,Antioquia,TERRITORIAL,800157073,598,25296227545.0
ANTIOQUIA  AGENCIA DE COOPERACIÓN E INVERSIÓN DE MEDELLÍN Y EL ÁREA METROPOLITANA,Antioquia,TERRITORIAL,811036423,1113,34615380746.0
ANTIOQUIA  AGENCIA DE EDUCACIÓN SUPERIOR DE MEDELLÍN SAPIENCIA,Antioquia,TERRITORIAL,900602106,2331,1024684394659.0
ANTIOQUIA  AGENCIA PARA LA GESTIÓN DEL PAISAJE EL PATRIMONIO Y LAS ALIANZAS PÚBLICO  PRIVADAS  MEDELLIN,Antioquia,TERRITORIAL,900623766,1130,49830951365.0
ANTIOQUIA  AGUAS DE BAJO CAUCA SA ESP  CAUCASIA,Antioquia,TERRITORIAL,900158046,56,16585198368.0
ANTIOQUIA  AGUAS DE EL BAGRE SA ESP  EL BAGRE,Antioquia,TERRITORIAL,900649669,444,9927729073.0
ANTIOQUIA  AGUAS DE HELICONIA SA ESP  HELICONIA,Antioquia,TERRITORIAL,900169368,200,2450325306.0
ANTIOQUIA  AGUAS DEL NORDESTE SA ESP  REMEDIOS,Antioquia,TERRITORIAL,900217641,3,
ANTIOQUIA  AGUAS DEL NORTE ANTIOQUEÑO SA ESP  YARUMAL,Antioquia,TERRITORIAL,900232836,276,30743974306.0
ANTIOQUIA  AGUAS DEL PÁRAMO SAS ESP  SONSÓN,Antioquia,TERRITORIAL,900673469,1005,22339315706.0
ANTIOQUIA  AGUAS DEL PUERTO SA ESP  PUERTO BERRÍO,Antioquia,TERRITORIAL,811012043,368,29215697199.0
ANTIOQUIA  AGUAS DE OCCIDENTE  SAN JERÓNIMO,Antioquia,TERRITORIAL,900130596,10,
ANTIOQUIA  AGUAS DE SAN JERÓNIMO ESP,Antioquia,TERRITORIAL,811018300,232,6195398407.0
ANTIOQUIA  AGUAS DE URABA SA ES  APARTADÓ,Antioquia,TERRITORIAL,900072303,36,9585800514.0
ANTIOQUIA  AGUAS NACIONALES EPM SA ESP  MEDELLÍN,Antioquia,TERRITORIAL,830112464,1522,162122893338.0
ANTIOQUIA  AGUAS REGIONALES EPM SA ESP  APARTADÓ,Antioquia,TERRITORIAL,900072303,639,148465124385.0
ANTIOQUIA  AGUAS Y ASEO DE EL PEÑOL ESP  EL PEÑOL,Antioquia,TERRITORIAL,811031582,661,13203802812.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ABEJORRAL,Antioquia,TERRITORIAL,No Definido,3625,81584328454.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ABRIAQUI,Antioquia,TERRITORIAL,890504612-0,1737,27161498906.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ALEJANDRÍA,Antioquia,TERRITORIAL,890983701,2667,74519227808.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE AMAGÁ,Antioquia,TERRITORIAL,890981732,2731,91501702747.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE AMALFI,Antioquia,TERRITORIAL,890981732-0,5403,162897606288.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANDES,Antioquia,TERRITORIAL,891900443-4,4721,372089365192.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANGELÓPOLIS,Antioquia,TERRITORIAL,890980342-7,1789,71024647190.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANGOSTURA,Antioquia,TERRITORIAL,890981493-5,3476,90997867142.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANORI,Antioquia,TERRITORIAL,No Definido,5187,106188230813.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ANZA,Antioquia,TERRITORIAL,800100532-8,2585,54724068074.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE APARTADÓ,Antioquia,TERRITORIAL,890980095,4240,566349570369.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ARBOLETES,Antioquia,TERRITORIAL,890985623,3081,121996796278.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ARGELIA,Antioquia,TERRITORIAL,890981786,1878,41654652882.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ARMENIA,Antioquia,TERRITORIAL,890983763,1350,46387599538.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BARBOSA,Antioquia,TERRITORIAL,890980445-7,4156,240544944520.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BELLO,Antioquia,TERRITORIAL,891480024-8,10947,1140489544041.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BELMIRA,Antioquia,TERRITORIAL,890981880,2209,74721238357.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BETANIA,Antioquia,TERRITORIAL,800099390-5,2792,44164644147.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BETULIA,Antioquia,TERRITORIAL,890982321,2968,73816274827.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BRICEÑO,Antioquia,TERRITORIAL,800023383-7,3810,134069132189.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BURITICÁ,Antioquia,TERRITORIAL,891900353-1,2497,123701837072.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CÁCERES,Antioquia,TERRITORIAL,890981567,2162,126856728964.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAICEDO,Antioquia,TERRITORIAL,890984224,2857,48116413378.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CALDAS,Antioquia,TERRITORIAL,890980447-1,5743,215900376440.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAMPAMENTO,Antioquia,TERRITORIAL,891501292-7,3919,68199005950.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAÑASGORDAS,Antioquia,TERRITORIAL,890982238,3196,987494541565.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CARACOLÍ,Antioquia,TERRITORIAL,899999462-9,1737,50905454586.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CARAMANTA,Antioquia,TERRITORIAL,890981107-7,1501,42513089458.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAREPA,Antioquia,TERRITORIAL,890210933-7,2275,722491500274.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CARMEN DE VIBORAL,Antioquia,TERRITORIAL,899999367-7,3012,178554468498.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAROLINA,Antioquia,TERRITORIAL,890982616-9,2819,48595208498.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CAUCASIA,Antioquia,TERRITORIAL,890906445,5011,434238502995.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CHIGORODÓ,Antioquia,TERRITORIAL,890980998,3544,197129150168.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CISNEROS,Antioquia,TERRITORIAL,890001044-8,2353,62918638124.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CIUDAD BOLÍVAR,Antioquia,TERRITORIAL,800152577-1,1933,85607197283.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE COCORNÁ,Antioquia,TERRITORIAL,890984634,3323,91723276772.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CONCEPCIÓN,Antioquia,TERRITORIAL,890983718-6,3201,71322150756.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CONCORDIA,Antioquia,TERRITORIAL,890983718-6,2501,86290679813.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE COPACABANA,Antioquia,TERRITORIAL,No Definido,4659,279646924136.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE DABEIBA,Antioquia,TERRITORIAL,800096580-4,4742,137397678050.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE DON MATÍAS,Antioquia,TERRITORIAL,890702026-3,2827,153478158367.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE EBÉJICO,Antioquia,TERRITORIAL,800099237-6,1965,62510918269.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE EL BAGRE,Antioquia,TERRITORIAL,800100518-4,3973,209372859062.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE EL PEÑOL,Antioquia,TERRITORIAL,890980917,3974,145038315302.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE EL RETIRO,Antioquia,TERRITORIAL,800098199-1,3867,286822967763.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ENTRERRIOS,Antioquia,TERRITORIAL,890982068-2,2508,88424646414.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ENVIGADO,Antioquia,TERRITORIAL,890982068-2,11746,1956535869700.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE FREDONIA,Antioquia,TERRITORIAL,890980848,2296,73224904095.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE FRONTINO,Antioquia,TERRITORIAL,800100056-3,2540,81855689827.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GIRALDO,Antioquia,TERRITORIAL,890983786,2156,86848633038.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GIRARDOTA,Antioquia,TERRITORIAL,890980807,6125,379886797222.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GÓMEZ PLATA,Antioquia,TERRITORIAL,890204802,3176,64186363984.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GRANADA,Antioquia,TERRITORIAL,890501404-1,2000,255589113408.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GUADALUPE,Antioquia,TERRITORIAL,890981162,2010,105608966949.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GUARNE,Antioquia,TERRITORIAL,No Definido,4560,266364357851.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE GUATAPÉ,Antioquia,TERRITORIAL,890982055-7,3253,81611637508.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE HELICONIA,Antioquia,TERRITORIAL,890982494,2277,45587269281.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE HISPANIA,Antioquia,TERRITORIAL,890984986,1571,47467278277.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ITAGÜÍ,Antioquia,TERRITORIAL,981680067-2,3645,2123977630377.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ITUANGO,Antioquia,TERRITORIAL,890980093-8,4201,159073984603.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE JARDÍN,Antioquia,TERRITORIAL,890399046-0,2251,63313224548.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE JERICÓ,Antioquia,TERRITORIAL,890981069-0,2828,56446148621.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LA CEJA,Antioquia,TERRITORIAL,800099665-5,3964,262907110721.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LA ESTRELLA,Antioquia,TERRITORIAL,800245021-9,8052,509530951434.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LA PINTADA,Antioquia,TERRITORIAL,811009017,1680,44469824097.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LA UNIÓN,Antioquia,TERRITORIAL,800050331-9,2587,83648437290.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE LIBORINA,Antioquia,TERRITORIAL,800100061-0,2586,60985753367.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MACEO,Antioquia,TERRITORIAL,890210947-1,2188,73295737228.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MARINILLA,Antioquia,TERRITORIAL,800095466-8,3153,200297823072.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MEDELLÍN,Antioquia,TERRITORIAL,890905211-1,31193,21136530257517.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MONTEBELLO,Antioquia,TERRITORIAL,800065474-9,2914,65719960574.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MURINDÓ,Antioquia,TERRITORIAL,890984882,2055,43387981073.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE MUTATÁ,Antioquia,TERRITORIAL,890980950,2945,91336296877.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE NARIÑO,Antioquia,TERRITORIAL,890680390-0,2193,44549599039.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE NECHÍ,Antioquia,TERRITORIAL,800100134-1,2246,88711090395.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE NECOCLÍ,Antioquia,TERRITORIAL,890985354-8,3329,172133939665.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE OLAYA,Antioquia,TERRITORIAL,800026156-5,1686,51747845128.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PEQUE,Antioquia,TERRITORIAL,890801137-7,2457,79362453826.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUEBLO RICO,Antioquia,TERRITORIAL,891480031-1,1907,67693230450.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUERTO BERRÍO,Antioquia,TERRITORIAL,891200461-3,4110,136651860923.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUERTO NARE,Antioquia,TERRITORIAL,892099325-0,4982,178352795222.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUERTO TRIUNFO,Antioquia,TERRITORIAL,891500580-9,4077,276631912892.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE REMEDIOS,Antioquia,TERRITORIAL,806001274-0,4270,249197934405.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE RIONEGRO,Antioquia,TERRITORIAL,890204646-3,3544,2017978468297.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SABANALARGA,Antioquia,TERRITORIAL,890983736,2439,49847113544.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SABANETA,Antioquia,TERRITORIAL,890980331,18701,830299156537.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SALGAR,Antioquia,TERRITORIAL,890001127-0,2993,75884889470.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN ANDRÉS DE CUERQUIA,Antioquia,TERRITORIAL,890207022-1,1417,62227688468.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN CARLOS,Antioquia,TERRITORIAL,890983740-9,5238,180574412323.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN FRANCISCO,Antioquia,TERRITORIAL,800022791-4,2888,62335866404.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN JERÓNIMO,Antioquia,TERRITORIAL,No Definido,3502,127135020444.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN JOSÉ LA MONTAÑA,Antioquia,TERRITORIAL,800022618,1319,26742008336.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN JUAN DE URABÁ,Antioquia,TERRITORIAL,800013676,2504,97982179089.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN LUIS,Antioquia,TERRITORIAL,890984376,3099,72414939208.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN PEDRO,Antioquia,TERRITORIAL,800100526-3,3176,150144789938.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN PEDRO DE URABÁ,Antioquia,TERRITORIAL,800148720-3,3639,196511825364.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN RAFAEL,Antioquia,TERRITORIAL,800096805-6,3946,108654515771.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN ROQUE,Antioquia,TERRITORIAL,890982123-1,2884,107266861732.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SANTA BÁRBARA,Antioquia,TERRITORIAL,890980344-1,3303,53838010587.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SANTA FE DE ANTIOQUIA,Antioquia,TERRITORIAL,800096758-8,4639,172544509109.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SANTA ROSA DE OSOS,Antioquia,TERRITORIAL,890481343-3,3748,133181962552.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SANTO DOMINGO,Antioquia,TERRITORIAL,800009926-2,2630,115999956338.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SANTUARIO,Antioquia,TERRITORIAL,890983813,3619,141514365518.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SAN VICENTE,Antioquia,TERRITORIAL,No Definido,3638,811354858028.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SEGOVIA,Antioquia,TERRITORIAL,800099441-2,2845,99823470109.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SONSÓN,Antioquia,TERRITORIAL,800029826-5,7246,189627987561.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SOPETRÁN,Antioquia,TERRITORIAL,890980357-7,2625,77373168182.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TÁMESIS,Antioquia,TERRITORIAL,800102801-3,3923,74636778155.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TARAZÁ,Antioquia,TERRITORIAL,890984295,2980,160543295103.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TARSO,Antioquia,TERRITORIAL,891180211-1,2606,47805491884.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TITIRIBÍ,Antioquia,TERRITORIAL,No Definido,2555,63965840039.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TOLEDO,Antioquia,TERRITORIAL,890981367,2112,189243176306.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE TURBO,Antioquia,TERRITORIAL,No Definido,4449,1347087235737.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE URAMITA,Antioquia,TERRITORIAL,818000961-0,1866,35070810901.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE URRAO,Antioquia,TERRITORIAL,892115155-4,2986,102017201861.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VALDIVIA,Antioquia,TERRITORIAL,899999407-3,3464,1002344954323.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VALPARAÍSO,Antioquia,TERRITORIAL,890984186,1816,45302376021.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VEGACHÍ,Antioquia,TERRITORIAL,890985285,2927,88306134078.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VENECIA,Antioquia,TERRITORIAL,800100144-3,3606,67990707437.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE VIGÍA DEL FUERTE,Antioquia,TERRITORIAL,800020665,2183,34191057631.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE YALI,Antioquia,TERRITORIAL,800097180-6,2659,60907603283.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE YARUMAL,Antioquia,TERRITORIAL,890980096,2460,157285915165.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE YOLOMBÓ,Antioquia,TERRITORIAL,890980096-1,3913,103254107298.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE YONDÓ,Antioquia,TERRITORIAL,890984030-2,6380,1854010747272.0
ANTIOQUIA  ALCALDÍA MUNICIPIO DE ZARAGOZA,Antioquia,TERRITORIAL,890981150,3269,152156712300.0
ANTIOQUIA  ALIANZA MEDELLIN ANTIOQUIA EPS SAS,Antioquia,TERRITORIAL,900604350,2360,6483130497604.0
ANTIOQUIA AQUATERRA EMPRESA DE SERVICIOS PUBLICOS AQUATERRA ESP GUARNE,Antioquia,TERRITORIAL,811013060,582,32747770159.0
ANTIOQUIA  ÁREA METROPOLITANA DEL VALLE DE ABURRÁ  MEDELLÍN,Antioquia,TERRITORIAL,890984423,10400,3599381784219.0
ANTIOQUIA  ASAMBLEA DEPARTAMENTAL DE ANTIOQUIA,Antioquia,TERRITORIAL,890900286,778,13436604804.0
ANTIOQUIA  ASOCIACIÓN CANAL LOCAL DE TELEVISIÓN DE MEDELLÍN  TELEMEDELLIN,Antioquia,TERRITORIAL,No Definido,9655,215507487648.0
ANTIOQUIA  ASOCIACIÓN DE ÁREAS METROPOLITANAS DE COLOMBIA  MEDELLÍN,Bogotá DC,TERRITORIAL,800119884,36,710045500.0
ANTIOQUIA  ASOCIACIÓN DE MUNICIPIOS CORPORACIÓN AGENCIA PARA EL DESARROLLO DE LOS MUNICIPIOS DE LA SUBREGIÓN DE BOSQUES CORPOBOSQUES  RIONEGRO,Antioquia,TERRITORIAL,900225707,655,9641393077.0
